link_id,from_node,to_node,mean,variance
0,0,1,15,2.42
1,0,2,18,0.78
2,0,3,22,11.66
3,0,4,25,22.75
4,0,5,21,13.69
5,0,6,11,6.11
6,0,7,21,16.6
7,0,8,26,6.95
8,0,9,32,26.52
9,0,10,25,6.66
10,0,11,34,15.4
11,0,12,15,14.98
12,0,13,11,3.04
13,0,14,32,19.69
14,0,15,30,26.77
15,0,16,29,25.24
16,0,17,30,13.59
17,0,18,16,2.23
18,0,19,32,26.81
19,0,20,32,24.41
20,0,21,18,10.73
21,0,22,27,21.09
22,0,23,36,33.05
23,0,24,30,15.91
24,0,25,34,24.87
25,0,26,11,1.08
26,0,27,5,1.87
27,0,28,6,1.88
28,0,29,30,26.67
29,0,30,25,21.91
30,0,31,17,12.87
31,0,32,34,6.44
32,0,33,25,3.8
33,0,34,36,28.49
34,0,35,41,5.1
35,0,36,41,32.48
36,0,37,21,14.37
37,0,38,42,35.43
38,0,39,34,20.0
39,0,40,11,5.74
40,0,41,29,19.46
41,0,42,25,15.55
42,0,43,34,25.49
43,0,44,32,30.46
44,0,45,29,15.09
45,0,46,35,0.12
46,0,47,34,2.73
47,0,48,28,20.92
48,0,49,44,31.56
49,0,50,17,11.87
50,0,51,27,8.73
51,0,52,11,4.05
52,0,53,4,1.5
53,0,54,23,13.89
54,0,55,30,7.37
55,0,56,29,14.36
56,0,57,23,12.47
57,0,58,9,4.92
58,0,59,18,15.97
59,0,60,18,8.91
60,0,61,25,19.26
61,0,62,25,9.6
62,0,63,35,0.31
63,0,64,47,5.36
64,0,65,50,34.76
65,0,66,40,20.41
66,0,67,44,13.36
67,0,68,21,19.61
68,0,69,12,8.96
69,0,70,21,7.89
70,0,71,40,20.41
71,0,72,22,7.28
72,0,73,20,14.22
73,0,74,25,11.19
74,0,75,28,22.41
75,0,76,16,13.84
76,0,77,20,13.13
77,0,78,31,3.74
78,0,79,26,22.64
79,0,80,21,8.54
80,0,81,28,17.3
81,0,82,23,18.26
82,0,83,21,14.53
83,0,84,24,9.4
84,0,85,23,19.41
85,0,86,35,10.61
86,0,87,18,7.42
87,0,88,19,0.11
88,0,89,9,2.56
89,0,90,32,28.66
90,0,91,26,2.99
91,0,92,18,12.72
92,0,93,20,4.35
93,0,94,12,7.69
94,0,95,15,13.09
95,0,96,15,14.1
96,0,97,17,4.06
97,0,98,21,16.9
98,0,99,17,3.83
99,0,100,24,2.93
100,0,101,0,0.0
101,1,2,33,16.01
102,1,3,15,3.02
103,1,4,32,26.39
104,1,5,32,4.9
105,1,6,25,7.37
106,1,7,21,15.55
107,1,8,32,9.98
108,1,9,18,1.85
109,1,10,16,7.43
110,1,11,26,25.15
111,1,12,17,5.98
112,1,13,26,23.38
113,1,14,47,13.31
114,1,15,45,22.22
115,1,16,42,35.4
116,1,17,41,13.48
117,1,18,23,10.21
118,1,19,28,20.0
119,1,20,16,4.33
120,1,21,29,17.36
121,1,22,39,16.41
122,1,23,46,6.58
123,1,24,28,4.74
124,1,25,38,9.96
125,1,26,19,10.13
126,1,27,11,8.48
127,1,28,12,0.44
128,1,29,24,14.73
129,1,30,11,7.01
130,1,31,10,0.55
131,1,32,21,12.43
132,1,33,12,10.17
133,1,34,25,15.07
134,1,35,27,19.04
135,1,36,41,14.0
136,1,37,36,23.42
137,1,38,57,10.9
138,1,39,42,39.63
139,1,40,24,12.85
140,1,41,42,41.7
141,1,42,41,3.38
142,1,43,49,25.58
143,1,44,46,21.95
144,1,45,37,35.22
145,1,46,39,18.88
146,1,47,34,18.17
147,1,48,28,24.81
148,1,49,40,33.18
149,1,50,6,5.01
150,1,51,12,9.67
151,1,52,15,9.22
152,1,53,18,7.54
153,1,54,26,11.72
154,1,55,34,6.16
155,1,56,39,37.16
156,1,57,38,10.68
157,1,58,24,7.19
158,1,59,32,9.09
159,1,60,28,19.8
160,1,61,38,0.75
161,1,62,19,16.42
162,1,63,24,20.91
163,1,64,38,9.2
164,1,65,35,0.87
165,1,66,25,0.87
166,1,67,51,32.87
167,1,68,18,10.55
168,1,69,4,0.52
169,1,70,8,2.14
170,1,71,25,20.02
171,1,72,34,17.18
172,1,73,32,21.48
173,1,74,36,17.18
174,1,75,39,35.24
175,1,76,11,5.62
176,1,77,13,3.47
177,1,78,20,5.56
178,1,79,16,8.39
179,1,80,19,10.75
180,1,81,15,4.77
181,1,82,26,6.0
182,1,83,30,28.27
183,1,84,35,7.55
184,1,85,37,15.57
185,1,86,48,1.26
186,1,87,34,30.42
187,1,88,15,1.27
188,1,89,21,17.72
189,1,90,21,17.64
190,1,91,40,32.97
191,1,92,33,13.99
192,1,93,34,4.98
193,1,94,27,25.52
194,1,95,30,2.6
195,1,96,29,6.03
196,1,97,32,26.62
197,1,98,36,29.01
198,1,99,31,28.59
199,1,100,39,20.47
200,1,101,15,4.85
201,2,1,33,31.88
202,2,3,34,28.73
203,2,4,20,1.24
204,2,5,24,22.01
205,2,6,16,10.46
206,2,7,36,5.53
207,2,8,36,25.44
208,2,9,47,34.49
209,2,10,43,40.3
210,2,11,50,37.01
211,2,12,23,10.37
212,2,13,9,4.07
213,2,14,21,16.79
214,2,15,13,1.95
215,2,16,25,18.62
216,2,17,33,2.58
217,2,18,27,24.37
218,2,19,47,7.05
219,2,20,49,17.45
220,2,21,10,2.96
221,2,22,12,10.76
222,2,23,23,10.95
223,2,24,35,9.16
224,2,25,30,6.1
225,2,26,16,2.34
226,2,27,23,4.16
227,2,28,21,18.0
228,2,29,38,8.55
229,2,30,43,33.63
230,2,31,35,22.94
231,2,32,52,14.46
232,2,33,39,14.04
233,2,34,48,20.8
234,2,35,56,28.78
235,2,36,54,26.26
236,2,37,15,13.45
237,2,38,32,29.77
238,2,39,25,16.14
239,2,40,9,8.17
240,2,41,12,5.64
241,2,42,12,6.9
242,2,43,18,7.89
243,2,44,24,9.63
244,2,45,36,21.9
245,2,46,45,44.8
246,2,47,47,37.63
247,2,48,41,12.04
248,2,49,59,6.55
249,2,50,32,27.59
250,2,51,43,11.89
251,2,52,27,9.75
252,2,53,14,2.49
253,2,54,25,12.55
254,2,55,29,6.68
255,2,56,19,12.05
256,2,57,6,4.64
257,2,58,9,7.61
258,2,59,16,11.35
259,2,60,25,9.5
260,2,61,24,19.35
261,2,62,42,13.46
262,2,63,53,47.69
263,2,64,63,13.15
264,2,65,66,39.6
265,2,66,58,48.21
266,2,67,34,29.94
267,2,68,30,1.09
268,2,69,30,2.18
269,2,70,39,22.32
270,2,71,56,53.11
271,2,72,12,10.13
272,2,73,9,2.46
273,2,74,12,10.12
274,2,75,15,0.03
275,2,76,29,2.87
276,2,77,32,27.53
277,2,78,44,23.2
278,2,79,38,37.65
279,2,80,29,0.31
280,2,81,42,3.92
281,2,82,36,4.87
282,2,83,29,7.68
283,2,84,28,0.24
284,2,85,20,10.02
285,2,86,31,25.41
286,2,87,7,0.77
287,2,88,36,34.9
288,2,89,20,3.22
289,2,90,50,39.29
290,2,91,20,11.37
291,2,92,14,3.01
292,2,93,18,14.32
293,2,94,13,2.1
294,2,95,12,11.73
295,2,96,16,6.47
296,2,97,11,3.19
297,2,98,16,15.38
298,2,99,17,3.43
299,2,100,17,2.21
300,2,101,18,5.62
301,3,1,15,13.73
302,3,2,34,30.79
303,3,4,25,3.49
304,3,5,43,12.74
305,3,6,34,7.63
306,3,7,35,0.25
307,3,8,45,40.29
308,3,9,15,2.98
309,3,10,29,12.82
310,3,11,40,17.11
311,3,12,11,2.28
312,3,13,32,19.67
313,3,14,53,11.67
314,3,15,47,39.96
315,3,16,51,7.45
316,3,17,52,17.1
317,3,18,35,0.2
318,3,19,43,41.05
319,3,20,22,7.22
320,3,21,27,7.89
321,3,22,36,9.53
322,3,23,40,37.95
323,3,24,14,8.83
324,3,25,27,25.77
325,3,26,18,17.43
326,3,27,21,8.28
327,3,28,16,11.94
328,3,29,9,7.98
329,3,30,21,2.9
330,3,31,25,14.3
331,3,32,31,28.64
332,3,33,7,2.14
333,3,34,14,0.67
334,3,35,22,18.37
335,3,36,55,1.68
336,3,37,43,35.4
337,3,38,64,63.02
338,3,39,33,10.06
339,3,40,25,8.97
340,3,41,40,21.5
341,3,42,45,34.84
342,3,43,53,36.51
343,3,44,54,37.52
344,3,45,49,2.53
345,3,46,53,31.59
346,3,47,48,23.03
347,3,48,43,36.88
348,3,49,54,8.89
349,3,50,8,7.76
350,3,51,14,8.65
351,3,52,28,4.1
352,3,53,23,17.36
353,3,54,16,10.57
354,3,55,23,1.44
355,3,56,33,6.93
356,3,57,40,21.7
357,3,58,27,20.61
358,3,59,40,36.98
359,3,60,40,31.71
360,3,61,48,38.7
361,3,62,34,33.55
362,3,63,37,5.7
363,3,64,51,43.74
364,3,65,33,8.44
365,3,66,29,8.09
366,3,67,42,32.46
367,3,68,6,5.72
368,3,69,18,12.28
369,3,70,21,10.42
370,3,71,23,4.07
371,3,72,30,7.33
372,3,73,30,24.89
373,3,74,33,20.17
374,3,75,35,14.31
375,3,76,7,5.69
376,3,77,3,1.08
377,3,78,9,5.96
378,3,79,4,2.72
379,3,80,8,2.87
380,3,81,9,3.15
381,3,82,40,35.85
382,3,83,42,21.39
383,3,84,46,41.94
384,3,85,45,27.97
385,3,86,58,33.73
386,3,87,38,24.8
387,3,88,30,21.22
388,3,89,31,25.13
389,3,90,33,27.2
390,3,91,48,39.53
391,3,92,40,22.54
392,3,93,43,25.99
393,3,94,34,32.88
394,3,95,37,33.08
395,3,96,38,5.62
396,3,97,38,11.29
397,3,98,43,4.32
398,3,99,40,38.79
399,3,100,46,34.72
400,3,101,22,1.46
401,4,1,32,8.4
402,4,2,20,2.37
403,4,3,25,0.26
404,4,5,41,37.2
405,4,6,32,17.78
406,4,7,46,9.26
407,4,8,51,39.53
408,4,9,40,26.55
409,4,10,47,20.33
410,4,11,57,14.61
411,4,12,16,13.21
412,4,13,25,3.37
413,4,14,41,28.7
414,4,15,29,8.75
415,4,16,45,7.78
416,4,17,51,17.51
417,4,18,40,25.41
418,4,19,57,17.72
419,4,20,46,6.82
420,4,21,10,6.55
421,4,22,14,7.0
422,4,23,15,12.77
423,4,24,18,2.41
424,4,25,10,5.06
425,4,26,14,8.58
426,4,27,28,18.77
427,4,28,22,6.57
428,4,29,24,20.56
429,4,30,43,36.89
430,4,31,40,0.72
431,4,32,53,13.03
432,4,33,32,20.83
433,4,34,36,13.59
434,4,35,46,17.25
435,4,36,66,65.52
436,4,37,35,14.37
437,4,38,52,18.9
438,4,39,9,7.86
439,4,40,16,11.18
440,4,41,18,14.57
441,4,42,32,21.35
442,4,43,36,18.59
443,4,44,44,30.97
444,4,45,52,24.75
445,4,46,60,28.38
446,4,47,59,24.53
447,4,48,53,31.27
448,4,49,69,39.57
449,4,50,28,10.34
450,4,51,38,18.39
451,4,52,36,11.5
452,4,53,21,16.81
453,4,54,9,1.78
454,4,55,9,2.79
455,4,56,8,4.26
456,4,57,24,17.75
457,4,58,20,3.38
458,4,59,34,7.77
459,4,60,40,16.05
460,4,61,43,21.96
461,4,62,49,33.32
462,4,63,56,11.25
463,4,64,70,27.59
464,4,65,57,44.5
465,4,66,53,29.64
466,4,67,19,13.01
467,4,68,19,14.49
468,4,69,32,3.51
469,4,70,40,15.59
470,4,71,48,11.7
471,4,72,9,1.59
472,4,73,11,0.5
473,4,74,11,10.85
474,4,75,11,0.73
475,4,76,23,18.35
476,4,77,23,20.73
477,4,78,33,19.86
478,4,79,28,14.13
479,4,80,17,2.79
480,4,81,34,31.96
481,4,82,48,16.0
482,4,83,44,15.72
483,4,84,45,4.78
484,4,85,39,4.57
485,4,86,51,18.41
486,4,87,27,20.99
487,4,88,43,32.9
488,4,89,33,15.59
489,4,90,53,27.58
490,4,91,40,39.73
491,4,92,33,25.6
492,4,93,37,12.58
493,4,94,30,15.31
494,4,95,30,6.27
495,4,96,34,6.19
496,4,97,30,4.52
497,4,98,36,5.66
498,4,99,36,22.52
499,4,100,37,19.7
500,4,101,25,8.17
501,5,1,32,14.22
502,5,2,24,2.29
503,5,3,43,30.7
504,5,4,41,5.76
505,5,6,10,7.11
506,5,7,21,9.58
507,5,8,14,0.75
508,5,9,50,46.59
509,5,10,34,0.86
510,5,11,35,0.23
511,5,12,35,34.36
512,5,13,16,0.12
513,5,14,20,19.09
514,5,15,29,11.45
515,5,16,11,1.71
516,5,17,10,4.4
517,5,18,11,0.69
518,5,19,30,13.84
519,5,20,46,36.5
520,5,21,32,13.68
521,5,22,36,22.55
522,5,23,47,27.15
523,5,24,50,0.19
524,5,25,51,9.94
525,5,26,30,28.9
526,5,27,22,3.53
527,5,28,27,19.49
528,5,29,50,43.72
529,5,30,39,9.5
530,5,31,27,6.72
531,5,32,44,38.72
532,5,33,44,8.95
533,5,34,56,18.45
534,5,35,59,36.47
535,5,36,33,1.89
536,5,37,11,5.19
537,5,38,27,25.79
538,5,39,48,44.54
539,5,40,25,14.13
540,5,41,35,21.4
541,5,42,20,13.12
542,5,43,28,11.2
543,5,44,16,2.3
544,5,45,12,1.12
545,5,46,22,1.85
546,5,47,27,18.87
547,5,48,22,1.43
548,5,49,39,21.27
549,5,50,36,29.54
550,5,51,44,0.04
551,5,52,18,15.61
552,5,53,22,8.38
553,5,54,42,1.57
554,5,55,49,47.34
555,5,56,42,20.82
556,5,57,25,11.22
557,5,58,21,17.47
558,5,59,8,2.05
559,5,60,4,3.16
560,5,61,7,2.87
561,5,62,29,16.57
562,5,63,41,33.99
563,5,64,47,19.96
564,5,65,66,1.2
565,5,66,55,41.65
566,5,67,58,36.73
567,5,68,42,23.43
568,5,69,28,0.15
569,5,70,34,16.0
570,5,71,57,45.38
571,5,72,35,12.37
572,5,73,32,17.37
573,5,74,35,34.65
574,5,75,39,9.6
575,5,76,36,18.71
576,5,77,40,5.12
577,5,78,51,37.71
578,5,79,46,28.23
579,5,80,42,0.8
580,5,81,47,34.53
581,5,82,17,7.49
582,5,83,7,6.13
583,5,84,4,0.87
584,5,85,8,4.46
585,5,86,16,11.4
586,5,87,18,6.16
587,5,88,25,22.52
588,5,89,12,5.94
589,5,90,40,37.29
590,5,91,11,7.6
591,5,92,11,7.6
592,5,93,7,4.51
593,5,94,11,2.26
594,5,95,12,4.94
