link_id,from_node,to_node,distance
0,0,1,60
1,0,2,49
2,0,3,27
3,0,4,19
4,0,5,34
5,0,6,49
6,0,7,27
7,0,8,10
8,0,9,72
9,0,10,25
10,0,11,52
11,0,12,19
12,0,13,43
13,0,14,27
14,0,15,52
15,0,16,65
16,0,17,31
17,0,18,30
18,0,19,39
19,0,20,34
20,0,21,15
21,0,22,38
22,0,23,52
23,0,24,66
24,0,25,16
25,0,26,27
26,0,27,41
27,0,28,35
28,0,29,22
29,0,30,30
30,0,31,27
31,0,32,23
32,0,33,29
33,0,34,32
34,0,35,67
35,0,36,7
36,0,37,20
37,0,38,61
38,0,39,73
39,0,40,59
40,0,41,21
41,0,42,27
42,0,43,56
43,0,44,60
44,0,45,57
45,0,46,30
46,0,47,58
47,0,48,39
48,0,49,81
49,0,50,38
50,0,51,61
51,0,52,66
52,0,53,43
53,0,54,47
54,0,55,0
55,1,2,87
56,1,3,78
57,1,4,76
58,1,5,56
59,1,6,13
60,1,7,86
61,1,8,53
62,1,9,30
63,1,10,54
64,1,11,80
65,1,12,53
66,1,13,57
67,1,14,81
68,1,15,80
69,1,16,58
70,1,17,80
71,1,18,32
72,1,19,61
73,1,20,89
74,1,21,53
75,1,22,68
76,1,23,39
77,1,24,43
78,1,25,55
79,1,26,83
80,1,27,60
81,1,28,54
82,1,29,42
83,1,30,79
84,1,31,86
85,1,32,47
86,1,33,75
87,1,34,79
88,1,35,27
89,1,36,62
90,1,37,73
91,1,38,54
92,1,39,43
93,1,40,61
94,1,41,53
95,1,42,86
96,1,43,15
97,1,44,29
98,1,45,6
99,1,46,84
100,1,47,40
101,1,48,27
102,1,49,36
103,1,50,30
104,1,51,99
105,1,52,44
106,1,53,54
107,1,54,49
108,1,55,60
109,2,1,87
110,2,3,24
111,2,4,58
112,2,5,32
113,2,6,74
114,2,7,56
115,2,8,46
116,2,9,80
117,2,10,35
118,2,11,14
119,2,12,39
120,2,13,91
121,2,14,26
122,2,15,14
123,2,16,51
124,2,17,19
125,2,18,68
126,2,19,87
127,2,20,28
128,2,21,41
129,2,22,86
130,2,23,97
131,2,24,110
132,2,25,65
133,2,26,31
134,2,27,89
135,2,28,83
136,2,29,66
137,2,30,73
138,2,31,37
139,2,32,43
140,2,33,19
141,2,34,18
142,2,35,78
143,2,36,42
144,2,37,30
145,2,38,50
146,2,39,73
147,2,40,43
148,2,41,69
149,2,42,39
150,2,43,75
151,2,44,100
152,2,45,82
153,2,46,26
154,2,47,59
155,2,48,78
156,2,49,88
157,2,50,79
158,2,51,13
159,2,52,110
160,2,53,36
161,2,54,94
162,2,55,49
163,3,1,78
164,3,2,24
165,3,4,34
166,3,5,30
167,3,6,65
168,3,7,33
169,3,8,28
170,3,9,79
171,3,10,26
